Index,Title,Link,Year,Certification,Runtime,Genres,Rating,Description,Gross,Director,Stars
"1,278",Les dÃ©moniaques,https://www.imdb.com/title/tt0070013/,1974,,77,Horror,5.2,"A gang of pirates rape the two sole survivors of a ship wreck. The violated girls are rescued by the strange inhabitants of a supposedly haunted island, where they are granted supernatural powers to strike revenge against the pirates.",,Jean Rollin,"JoÃ«lle Coeur, John Rico, Willy Braque, Paul Bisciglia"
"1,279",Jack Brooks: Monster Slayer,https://www.imdb.com/title/tt0816539/,2007,R,85,"Action, Comedy, Horror",5.9,A troubled young man still mourning the childhood loss of his family now has to deal with his professor being turned into a monster.,,Jon Knautz,"Robert Englund, Trevor Matthews, Daniel Kash, David Fox"
"1,280",Romasanta,https://www.imdb.com/title/tt0374180/,2004,R,90,"Drama, Horror",5.3,See full summary,,Paco Plaza,"Julian Sands, Elsa Pataky, John Sharian, Gary Piquer"
"1,281",The Daisy Chain,https://www.imdb.com/title/tt1129415/,2008,R,89,"Drama, Horror, Thriller",5.0,"A grieving couple move to a remote Irish village in the wake of their baby daughter's death. They soon take in an orphaned autistic girl, only to become involved in a series of strange occurrences.",,Aisling Walsh,"Samantha Morton, Steven Mackintosh, Mhairi Anderson, David Bradley"
"1,282",Jiang tou,https://www.imdb.com/title/tt0073206/,1975,,93,"Fantasy, Horror",6.2,"An evil magician makes a living by casting deadly spells on people's objects of desire. He gets overly ambitious, and start to go out of control.",,Meng Hua Ho,"Lung Ti, Lieh Lo, Ni Tien, Lily Li"
"1,283",Death Valley,https://www.imdb.com/title/tt0083805/,1982,,87,"Crime, Horror, Thriller",5.6,"A divorced mother, her young son and her new boyfriend set out on a road trip through Death Valley and run afoul of a local serial killer.",,Dick Richards,"Paul Le Mat, Catherine Hicks, Stephen McHattie, Wilford Brimley"
"1,284",Evil Laugh,https://www.imdb.com/title/tt0095120/,1986,,87,"Comedy, Horror",5.0,A group of Med students fix up an old house over a weekend. Where a mass murder occurred 10 years earlier. Mayhem ensues.,,Dominick Brascia,"Ashlyn Gere, Steven Baio, Tony Griffin, Jody Gibson"
"1,285",Some Guy Who Kills People,https://www.imdb.com/title/tt1568341/,2011,R,97,"Comedy, Crime, Drama",6.3,"Ken Boyd, a lonely man fresh out of the loony bin, who sets out to kill those he deems responsible for his miserable life.",,Jack Perez,"Kevin Corrigan, Barry Bostwick, Karen Black, Leo Fitzpatrick"
"1,286",No Place to Hide,https://www.imdb.com/title/tt0105009/,1992,R,98,"Crime, Horror, Thriller",5.6,A tough L.A. cop and the teen sister of the ballerina whose murder he's investigating become targeted by a sinister cult that secretly runs the city.,"135,004",Richard Danus,"Kris Kristofferson, Drew Barrymore, Illana Diamant, Martin Landau"
"1,287",Zeder,https://www.imdb.com/title/tt0086636/,1983,,98,Horror,6.2,See full summary,,Pupi Avati,"Gabriele Lavia, Anne Canovas, Paola Tanziani, Cesare Barbetti"
"1,288",Gwai wik,https://www.imdb.com/title/tt0498311/,2006,R,108,"Fantasy, Horror, Mystery",6.1,"A writer wants to get a glimpse of some genuine supernatural occurrences while doing research for a novel, but her experiences lead her down a dark path as she witnesses vivid hallucinations and begins to lose her grip on reality.",,"Danny Pang, Oxide Chun Pang","Angelica Lee, Soi Cheang, Ekin Cheng, Lawrence Chou"
"1,289",Welcome to Arrow Beach,https://www.imdb.com/title/tt0072392/,1974,,85,Horror,5.4,See full summary,,Laurence Harvey,"Laurence Harvey, Joanna Pettet, Stuart Whitman, John Ireland"
